"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"1","CEREALS UNMILLED","'Teff' White ","Kg ","16.33","16.07","16.57","16.00","16.00","16.30","16.47","16.10","16.40","15.93","16.33","16.33"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","15.16","14.40","15.10","14.67","15.00","15.26","15.10","14.52","14.73","14.33","15.16","15.16"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","13.00","12.83","14.00","13.00","13.16","12.43","12.66","12.00","13.07","12.33","12.83","13.33"
"4","CEREALS UNMILLED","Wheat White","Kg ","9.16","9.32","9.00","10.00","8.83","10.00","9.83","9.65","9.32","9.23","8.83","8.33"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","12.66","12.00","11.66","11.32","11.66","10.32","10.66","11.66","12.00","10.66","9.97","10.00"
"7","CEREALS UNMILLED","Barley White","Kg ","10.66","10.00","10.00","10.32","9.15","10.00","9.32","10.32","9.32","9.00","9.81","9.66"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","8.33","-","9.00","-","8.50","8.50","8.32","-","-","-","7.33","8.33"
"9","CEREALS UNMILLED","Barley Black","Kg ","8.33","8.66","10.00","10.00","8.66","9.00","9.00","9.32","8.83","8.83","8.16","9.00"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","10.00","-","10.32","10.00","9.65","10.00","10.00","-","8.83","10.00"
"11","CEREALS UNMILLED","Maize (White)","Kg ","7.50","7.33","7.33","7.50","7.50","7.00","7.83","7.65","7.00","7.16","6.83","7.00"
"12","CEREALS UNMILLED","Durrah","Kg ","10.00","8.32","9.65","8.00","8.00","8.32","9.32","10.00","8.00","8.65","8.00","8.00"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","10.97","11.66","12.00","12.00","11.16","11.00","12.00","12.00","11.00","10.83","10.66","11.83"
"14","CEREALS UNMILLED","Sorghum White","Kg ","11.00","11.66","11.49","10.32","11.33","12.00","-","11.66","10.00","10.07","11.49","12.83"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","8.00","8.16","8.49","10.00","8.00","8.49","8.96","9.65","8.32","7.50","7.66","8.00"
"16","CEREALS UNMILLED","African Millet","Kg ","12.66","12.32","13.00","12.66","12.66","13.33","13.00","13.00","13.33","12.00","12.00","14.00"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","16.00","15.83","16.00","17.00","15.83","15.00","16.00","15.66","16.00","16.00","16.00","16.00"
"18","CEREALS UNMILLED","Oats","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","18.97","-","-","-","-","-","-","-","-","-","-","-"
"20","CEREALS MILLED","'Teff' White","Kg ","-","18.60","-","-","-","-","-","-","-","-","-","-"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","17.00","-","-","-","-","-","-","-","-","-","-"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","14.00","-","-","-","-","-","-","-","-","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"25","CEREALS MILLED","Barley White","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"26","CEREALS MILLED","Barley Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Maize (White)","Kg ","-","-","-","-","-","-","-","-","-","-","-","9.00"
"2","P R I C E   I N    B I R R","Oats","Kg ","31.38","31.58","34.76","36.99","27.32","25.33","30.65","31.32","22.24","24.65","29.32","27.95"
"3","P R I C E   I N    B I R R","Sorghum","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"4","P R I C E   I N    B I R R","Durrah","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"5","P R I C E   I N    B I R R","'Furno Duket' Locally Processed","Kg ","12.00","11.00","11.83","12.00","11.16","11.00","11.00","10.66","11.32","11.49","11.66","11.00"
"6","PULSES UNMILLED","Horse Beans","Kg ","12.97","11.66","12.00","13.00","11.66","12.32","10.97","12.32","10.32","12.16","12.00","11.00"
"7","PULSES UNMILLED","Peas White","Kg ","19.31","-","20.00","20.00","17.33","18.64","20.00","20.00","17.66","18.33","16.64","17.00"
"8","PULSES UNMILLED","Peas Green(dry)","Kg ","13.66","14.33","13.66","15.00","13.33","13.33","13.33","14.66","14.33","16.00","13.00","14.33"
"9","PULSES UNMILLED","Peas Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"10","PULSES UNMILLED","Soya Beans","Kg ","18.00","20.00","20.00","20.00","19.31","18.00","18.64","20.00","19.31","20.65","16.33","18.00"
"11","PULSES UNMILLED","Chick Peas","Kg ","12.66","12.00","12.00","13.30","12.49","12.66","12.00","14.30","13.00","14.00","12.00","12.00"
"12","PULSES UNMILLED","Lentils","Kg ","19.31","18.00","20.00","20.00","19.33","20.00","19.31","20.00","20.00","20.00","18.33","20.00"
"13","PULSES UNMILLED","Haricot Beans","Kg ","18.00","-","18.44","17.00","-","18.00","-","20.00","20.00","-","18.97","-"
"14","PULSES UNMILLED","Lima Beans","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"15","PULSES UNMILLED","Vetch","Kg ","10.00","-","-","-","-","-","-","-","-","-","-","5.43"
"16","PULSES UNMILLED","Fenugreek(Green)","Kg ","19.31","18.64","20.00","20.00","19.31","20.00","19.31","20.00","20.00","20.00","18.00","18.64"
"17","PULSES MILLED OR SPLIT","Horse Beans Milled","Kg ","30.54","-","30.00","-","35.33","-","37.50","30.65","26.30","30.00","26.99","-"
"18","PULSES MILLED OR SPLIT","Peas Milled","Kg ","31.94","36.59","34.99","35.00","37.66","35.00","35.32","34.65","28.96","33.32","34.99","-"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","35.33","-","-","-","-","34.99","30.00","-","35.66","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","-","-","-","28.65","-","25.00","30.65","-","-","28.65","-","-"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","17.31","15.83","16.98","18.64","16.00","16.66","15.66","18.64","17.66","16.33","18.00","18.00"
