"Regions","CATEGORY","ITEM","UNIT","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA","AMHARA"
"Markets","CATEGORY","ITEM","UNIT","Chuahit","Gondar","Esete","Debre- Tabor ","Kobo","Weldiya","Kombolcha","Dessie","Shewa- Robit ","Debre-¦"
"1","CEREALS UNMILLED","'Teff' White ","Kg ","14.47","15.33","13.83","15.00","16.00","15.83","14.90","15.30","17.17","16.00"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","13.00","14.33","12.47","14.03","14.55","14.97","14.01","14.71","16.04","13.66"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","12.50","12.53","11.37","11.77","12.64","13.03","13.17","13.37","15.95","12.58"
"4","CEREALS UNMILLED","Wheat White","Kg ","9.66","10.00","8.46","8.97","9.97","9.43","8.81","9.06","9.89","8.55"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","8.89","-","8.15"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","-","9.00","6.86","8.86","-","10.78","-","10.43","-","-"
"7","CEREALS UNMILLED","Barley White","Kg ","-","9.66","7.62","-","10.63","10.78","9.60","9.51","9.89","8.00"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","8.66","-","7.86","8.61","-","8.69","8.70","8.82","-","7.08"
"9","CEREALS UNMILLED","Barley Black","Kg ","-","-","7.27","7.88","-","8.59","8.27","-","8.83","-"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","7.55","-","-","-","-","-","10.04","-"
"11","CEREALS UNMILLED","Maize (White)","Kg ","7.00","7.23","7.73","6.96","6.43","8.00","6.93","6.75","7.68","6.66"
"12","CEREALS UNMILLED","Durrah","Kg ","6.16","-","8.30","8.41","-","10.27","11.43","7.92","-","8.00"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","8.75","8.83","-","-","11.40","10.81","10.60","10.37","11.35","11.35"
"14","CEREALS UNMILLED","Sorghum White","Kg ","8.57","8.00","-","8.16","13.38","12.53","11.07","9.27","7.96","11.35"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","8.73","7.00","-","8.60","10.38","8.22","8.51","6.79","-","6.90"
"16","CEREALS UNMILLED","African Millet","Kg ","8.50","8.50","10.55","8.74","-","-","-","-","-","-"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","18.97","17.66","17.66","17.66","18.33","17.66","17.00","17.00","16.00","16.00"
"18","CEREALS UNMILLED","Oats","Kg ","-","-","-","-","-","-","-","-","-","-"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","14.83","11.05","11.23","-","12.90","19.57","-","16.42","9.49"
"20","CEREALS MILLED","'Teff' White","Kg ","-","-","-","-","-","-","-","18.00","-","-"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-","-","-","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","-","-","-","12.00","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"25","CEREALS MILLED","Barley White","Kg ","-","-","-","-","-","-","-","14.00","-","-"
"26","CEREALS MILLED","Barley Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Maize (White)","Kg ","-","-","-","-","-","-","-","10.00","-","-"
"2","P R I C E   I N    B I R R","Oats","Kg ","30.00","25.33","30.00","26.96","-","-","-","24.66","-","20.00"
"3","P R I C E   I N    B I R R","Sorghum","Kg ","-","-","-","-","-","-","-","-","-","-"
"4","P R I C E   I N    B I R R","Durrah","Kg ","-","-","-","-","-","-","-","-","-","-"
"5","P R I C E   I N    B I R R","'Furno Duket' Locally Processed","Kg ","12.00","12.83","12.00","12.00","13.00","12.32","12.00","12.66","-","9.25"
"6","PULSES UNMILLED","Horse Beans","Kg ","8.16","10.00","7.08","7.31","9.18","9.18","9.11","8.17","9.74","6.42"
"7","PULSES UNMILLED","Peas White","Kg ","-","-","-","-","-","-","11.43","-","-","-"
"8","PULSES UNMILLED","Peas Green(dry)","Kg ","-","11.83","7.01","9.18","10.64","10.31","-","-","9.65","7.50"
"9","PULSES UNMILLED","Peas Mixed","Kg ","-","-","-","-","-","13.36","10.69","10.46","-","-"
"10","PULSES UNMILLED","Soya Beans","Kg ","-","-","-","-","-","-","-","-","-","-"
"11","PULSES UNMILLED","Chick Peas","Kg ","9.50","10.50","7.70","8.84","9.83","9.13","9.01","9.39","9.65","8.00"
"12","PULSES UNMILLED","Lentils","Kg ","-","16.00","12.37","15.33","15.10","16.29","17.52","17.94","21.54","19.93"
"13","PULSES UNMILLED","Haricot Beans","Kg ","-","-","-","-","-","4.63","5.08","6.87","8.37","-"
"14","PULSES UNMILLED","Lima Beans","Kg ","-","-","-","-","-","-","9.83","11.11","9.76","-"
"15","PULSES UNMILLED","Vetch","Kg ","4.23","-","4.45","4.42","7.43","6.13","6.50","6.56","-","5.35"
"16","PULSES UNMILLED","Fenugreek(Green)","Kg ","12.00","13.00","13.00","12.00","15.55","11.50","13.98","17.33","16.61","17.54"
"17","PULSES MILLED OR SPLIT","Horse Beans Milled","Kg ","-","-","-","-","-","-","-","-","-","-"
"18","PULSES MILLED OR SPLIT","Peas Milled","Kg ","-","-","-","-","-","-","-","-","-","-"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","-","-","-","-","-","33.00","-","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","-","-","-","-","-","-","-","27.95","30.00","20.00"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","-","-","-","-","-","-","-","-","-","-"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","16.64","-","17.33","-","-","24.59","20.00","19.56","16.00","21.18"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","15.00","20.00","-","16.00","20.00","23.63","18.64","20.98","14.93","15.05"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","13.33","12.66","23.66","18.00","-","23.27","17.33","17.83","10.57","11.49"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","22.65","22.33","23.66","22.00","28.00","28.65","25.00","25.66","24.00","25.32"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","-","-","-","-","-","-","13.98","14.66","-","-"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","16.00","24.00","-","-","24.27","18.62","20.33","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","-","-","-","-","50.00","40.00","40.00","41.65","50.00","38.62"
"4","OIL SEEDS","Niger Seed","Kg ","13.14","18.97","17.65","12.99","20.34","14.82","22.50","21.28","22.74","20.00"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","-","-","52.92","-","-","-","-"
"6","OIL SEEDS","Linseed Red","Kg ","13.38","15.33","10.71","11.14","21.07","19.49","14.46","17.86","20.67","15.00"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","-","-","-","33.97","23.08","26.59","-","33.17","28.00"
"8","OIL SEEDS","Sunflower","Kg ","7.47","13.66","-","12.98","15.65","17.34","16.22","13.65","9.63","12.00"
