"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"1","CEREALS UNMILLED","'Teff' White ","Kg ","12.77","13.23","12.00","17.27","15.78","12.56","-","12.66","14.54","16.87"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","12.13","11.46","11.31","13.23","14.23","12.08","11.67","11.66","14.05","15.71"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","12.09","10.15","10.05","10.49","13.55","11.95","9.96","10.00","13.34","14.85"
"4","CEREALS UNMILLED","Wheat White","Kg ","7.42","7.28","7.27","10.00","9.07","10.27","10.19","8.16","9.60","-"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","9.26","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","-","10.69","-","9.97","-","-","-","-","12.43","-"
"7","CEREALS UNMILLED","Barley White","Kg ","8.84","10.05","-","10.00","10.16","9.53","10.51","8.49","8.75","9.08"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","-","-","-","-","9.73","-","-","-","9.10","-"
"9","CEREALS UNMILLED","Barley Black","Kg ","11.39","-","-","9.32","9.30","-","7.62","8.00","8.80","-"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","-","-","-","-","-","-","-","-"
"11","CEREALS UNMILLED","Maize (White)","Kg ","7.10","6.82","6.34","6.49","8.26","7.81","5.80","6.00","4.82","6.84"
"12","CEREALS UNMILLED","Durrah","Kg ","-","-","-","-","-","7.39","-","-","10.06","10.20"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","13.19","-","-","-","9.07","7.64","-","-","12.37","11.17"
"14","CEREALS UNMILLED","Sorghum White","Kg ","7.61","-","-","-","8.73","9.35","6.58","6.83","8.56","9.07"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","6.47","-","-","-","8.04","7.94","-","-","-","-"
"16","CEREALS UNMILLED","African Millet","Kg ","8.63","-","8.06","8.65","-","-","6.61","7.83","-","-"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","18.00","16.00","16.00","17.00","18.33","17.49","18.29","17.00","16.33","16.00"
"18","CEREALS UNMILLED","Oats","Kg ","-","-","12.96","-","-","-","12.20","11.66","-","-"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","13.19","-","-","13.66","-","-","-","-","-","-"
"20","CEREALS MILLED","'Teff' White","Kg ","-","-","-","-","-","-","-","-","-","-"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","-","-","-","-","-","-","-","-","-"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-","-","-","-","-"
