"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"1","CEREALS UNMILLED","'Teff' White ","Kg ","17.50","-","16.00","17.92","18.17"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","16.00","-","13.00","15.89","14.08"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","12.83","-","12.00","13.07","13.16"
"4","CEREALS UNMILLED","Wheat White","Kg ","11.66","-","9.32","10.46","9.49"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","9.32","-","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","8.32","-","-","8.97","8.00"
"7","CEREALS UNMILLED","Barley White","Kg ","12.00","-","9.00","9.49","8.33"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","12.00","-","8.00","8.50","7.50"
"9","CEREALS UNMILLED","Barley Black","Kg ","12.00","12.97","8.00","8.43","7.83"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","-","10.00","8.50"
"11","CEREALS UNMILLED","Maize (White)","Kg ","6.00","4.74","5.33","7.16","7.00"
"12","CEREALS UNMILLED","Durrah","Kg ","-","-","-","-","7.00"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","-","-","-","9.25","12.00"
"14","CEREALS UNMILLED","Sorghum White","Kg ","7.00","-","5.59","10.91","11.32"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","6.00","5.21","4.59","7.91","8.00"
"16","CEREALS UNMILLED","African Millet","Kg ","10.00","-","7.10","13.00","12.63"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","19.31","19.31","-","16.00","15.00"
"18","CEREALS UNMILLED","Oats","Kg ","-","-","-","-","-"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","-","-","-","-"
"20","CEREALS MILLED","'Teff' White","Kg ","18.07","-","-","-","-"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","16.67","16.50","-","-","-"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","-","8.25","-"
"25","CEREALS MILLED","Barley White","Kg ","-","-","-","-","-"
"26","CEREALS MILLED","Barley Mixed","Kg ","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Maize (White)","Kg ","7.00","-","-","7.59","-"
"2","P R I C E   I N    B I R R","Oats","Kg ","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Sorghum","Kg ","-","-","-","-","-"
"4","P R I C E   I N    B I R R","Durrah","Kg ","-","-","-","-","-"
"5","P R I C E   I N    B I R R","'Furno Duket' Locally Processed","Kg ","12.00","12.00","12.00","12.49","12.00"
"6","PULSES UNMILLED","Horse Beans","Kg ","18.00","20.00","10.00","12.46","11.32"
"7","PULSES UNMILLED","Peas White","Kg ","-","-","10.00","-","20.00"
"8","PULSES UNMILLED","Peas Green(dry)","Kg ","-","-","-","14.14","11.66"
"9","PULSES UNMILLED","Peas Mixed","Kg ","19.31","18.00","-","-","11.00"
"10","PULSES UNMILLED","Soya Beans","Kg ","20.00","-","10.00","27.59","40.00"
"11","PULSES UNMILLED","Chick Peas","Kg ","16.64","18.00","14.00","12.83","12.00"
"12","PULSES UNMILLED","Lentils","Kg ","24.00","24.65","24.00","20.45","20.00"
"13","PULSES UNMILLED","Haricot Beans","Kg ","12.00","6.00","7.36","10.32","9.00"
"14","PULSES UNMILLED","Lima Beans","Kg ","-","-","-","-","-"
"15","PULSES UNMILLED","Vetch","Kg ","-","-","6.66","11.32","8.00"
"16","PULSES UNMILLED","Fenugreek(Green)","Kg ","37.13","30.00","20.00","14.31","13.00"
"17","PULSES MILLED OR SPLIT","Horse Beans Milled","Kg ","-","18.00","-","-","-"
"18","PULSES MILLED OR SPLIT","Peas Milled","Kg ","40.00","44.00","19.36","29.32","25.00"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","-","-","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","21.31","22.00","19.61","21.44","20.33"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","-","-","18.99","-","21.00"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","18.00","18.00","16.00","13.47","20.00"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","-","-","-","15.49","15.33"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","-","-","-","-","-"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","28.00","28.65","24.00","24.49","23.00"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","-","-","-","12.66","11.00"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","-","-","22.00","20.00"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","-","-","60.00","24.31","41.60"
"4","OIL SEEDS","Niger Seed","Kg ","32.86","-","20.00","28.31","25.00"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","36.59","-"
"6","OIL SEEDS","Linseed Red","Kg ","40.00","22.00","20.00","15.15","18.17"
"7","OIL SEEDS","Sesame Seed Red","Kg ","50.00","22.75","-","31.58","30.00"
"8","OIL SEEDS","Sunflower","Kg ","20.00","30.00","20.00","14.49","12.32"
"9","OIL SEEDS","Castor Beans","Kg ","-","-","-","14.66","11.79"
"10","OIL SEEDS","Rape Seed","Kg ","14.64","20.00","15.00","13.26","10.00"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","25.00","25.65","-","15.74","-"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","26.00","26.00","26.00","-","22.00"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","25.00","-","28.00","32.65","27.32"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","20.00","20.00","18.00","16.82","16.00"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","-","-","-","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","25.00","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","4.76","3.97","3.40","-","4.30"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","4.38","5.83","-","3.42","-"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","-","-","-","3.17","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","3.89","5.53","5.00","3.97","4.35"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","6.00","4.29","4.21","4.29"
"1","MEAT","Beef ","Kg ","96.55","80.00","80.00","144.81","126.58"
"2","MEAT","Camel Meat ","Kg ","-","-","-","80.00","-"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","19.43","10.00","-","-","-"
