"Regions","CATEGORY","ITEM","UNIT","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA"
"Markets","CATEGORY","ITEM","UNIT","Nazareth","Shashe-","Diksise","Asella","Asebe- Teferi ","Bedessa","Alemaya","Boreda","Adaba","Robe","Hagere- Mariam ","Negele- Borena "
"1","CEREALS UNMILLED","'Teff' White ","Kg ","17.00","14.16","-","-","18.00","16.00","17.50","17.00","17.70","-","16.50","12.50"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","16.50","13.00","13.24","13.00","14.33","15.00","15.83","15.25","14.00","11.86","15.50","11.00"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","13.00","12.16","12.18","12.23","13.15","-","12.83","14.00","13.17","12.32","14.50","10.00"
"4","CEREALS UNMILLED","Wheat White","Kg ","7.83","8.37","7.41","7.00","9.32","10.32","11.66","8.16","6.52","6.61","-","6.67"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","7.33","7.57","7.16","-","-","-","-","7.48","5.92","5.95","7.32","6.89"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","11.00","7.50","6.67","-","8.00","9.09","8.50","-","-","-","-","6.82"
"7","CEREALS UNMILLED","Barley White","Kg ","8.00","7.00","7.11","7.83","9.00","10.00","9.65","8.65","6.97","5.80","8.32","6.98"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","7.50","6.50","6.22","6.00","8.00","-","-","8.43","5.09","4.83","8.16","7.27"
"9","CEREALS UNMILLED","Barley Black","Kg ","7.50","7.50","6.22","6.00","8.00","-","-","-","-","4.81","-","7.34"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","7.50","9.00","7.14","7.50","9.00","-","-","-","-","5.66","-","-"
"11","CEREALS UNMILLED","Maize (White)","Kg ","6.33","6.83","8.22","6.66","6.86","6.50","7.00","6.50","5.64","6.30","6.00","5.29"
"12","CEREALS UNMILLED","Durrah","Kg ","6.33","6.50","8.02","7.50","-","6.12","-","-","6.78","7.47","-","-"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","9.65","-","-","-","-","-","-","7.50","-","-","-","-"
"14","CEREALS UNMILLED","Sorghum White","Kg ","10.32","-","-","10.00","8.50","8.00","10.32","9.00","-","-","-","7.46"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","6.33","6.50","-","-","7.90","7.00","7.50","7.50","-","-","-","5.97"
"16","CEREALS UNMILLED","African Millet","Kg ","-","8.83","-","-","-","9.84","-","-","-","-","-","-"
