"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Welayita sodo ","Bodite","Jinka","Dimeka","Masha","Tepi","Boniga","Chana","Arbam- minch ","Sawla"
"1","CEREALS UNMILLED","'Teff' White ","Kg ","15.33","15.83","14.49","-","17.00","16.16","16.16","17.00","16.00","14.66"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","14.16","13.66","13.80","12.54","15.00","15.00","13.00","14.00","14.16","13.50"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","9.32","10.00","11.58","12.20","9.85","12.00","11.00","11.00","13.50","14.29"
"4","CEREALS UNMILLED","Wheat White","Kg ","8.25","8.66","9.06","-","10.00","10.00","7.00","10.00","12.00","8.58"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","8.76","-","-","-","-","-","10.00","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","8.50","-","8.79","-","10.00","8.83","6.00","8.00","10.00","8.70"
"7","CEREALS UNMILLED","Barley White","Kg ","8.00","8.33","5.46","-","6.87","10.00","7.00","10.00","10.00","6.43"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","7.00","-","5.95","-","6.77","8.16","5.50","6.00","-","6.17"
"9","CEREALS UNMILLED","Barley Black","Kg ","7.50","8.83","7.88","-","6.77","8.66","6.50","6.00","10.00","6.87"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","-","-","-","-","-","-","-","-"
"11","CEREALS UNMILLED","Maize (White)","Kg ","6.37","6.50","5.87","5.70","5.03","5.83","5.00","5.00","-","5.30"
"12","CEREALS UNMILLED","Durrah","Kg ","-","-","-","-","-","-","-","5.00","5.00","4.49"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","-","-","-","-","-","-","-","-","12.00","5.03"
"14","CEREALS UNMILLED","Sorghum White","Kg ","-","-","8.61","6.19","9.00","6.00","6.50","6.00","7.00","-"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","5.50","-","6.67","7.50","-","5.66","5.00","6.00","5.00","-"
"16","CEREALS UNMILLED","African Millet","Kg ","-","-","8.86","-","-","7.00","7.29","5.00","-","-"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","16.00","16.00","18.00","20.00","18.00","17.33","18.00","18.00","16.33","16.00"
"18","CEREALS UNMILLED","Oats","Kg ","-","18.00","6.87","-","-","-","-","-","-","-"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","-","6.86","-","-","-","-","-","-","9.90"
"20","CEREALS MILLED","'Teff' White","Kg ","-","-","-","-","18.00","17.00","-","-","-","-"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","-","-","18.75","-","15.50","-","-","-","-"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-","-","-","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","11.29","10.50","-","-","-","-"
