"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Shewa- Bench ","Mizan- Teferi ","Deri","Amaro Kele ","Soyama","Karate","Gidola","Tercha","Besite- chere ","Lasoka","Amaya"
"1","CEREALS UNMILLED","'Teff' White ","Kg ","-","16.67","-","-","16.00","13.72","13.33","-","12.66","15.00","13.13"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","11.49","15.00","9.32","12.37","15.00","13.67","12.66","15.00","12.35","15.00","13.05"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","10.00","11.00","9.17","-","-","-","-","14.00","12.99","16.31","12.65"
"4","CEREALS UNMILLED","Wheat White","Kg ","-","10.00","-","10.83","7.77","-","11.61","8.50","8.17","8.15","6.34"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","8.32","7.50","-","7.53","11.01","-","8.24","8.26","-","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","6.49","10.00","-","8.00","6.99","10.72","9.11","7.83","-","8.25","6.33"
"7","CEREALS UNMILLED","Barley White","Kg ","-","10.00","10.53","8.71","8.11","9.96","8.45","7.81","7.07","5.60","5.02"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","5.66","9.00","10.26","-","8.11","-","11.15","7.58","7.23","-","4.91"
"9","CEREALS UNMILLED","Barley Black","Kg ","-","8.00","10.09","9.01","-","-","10.44","7.46","-","5.68","5.38"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","-","-","9.38","-","-","-","-","-","-"
"11","CEREALS UNMILLED","Maize (White)","Kg ","4.50","6.00","6.00","6.07","5.87","5.93","5.33","5.00","5.46","4.70","5.95"
"12","CEREALS UNMILLED","Durrah","Kg ","5.00","5.00","-","-","-","6.45","-","-","-","-","-"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","-","-","-","-","4.71","-","-","-","-","-","-"
"14","CEREALS UNMILLED","Sorghum White","Kg ","4.16","5.83","-","-","5.79","6.30","6.30","4.40","-","-","5.68"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","5.00","6.00","8.79","7.12","4.58","-","5.59","4.07","4.97","-","4.94"
"16","CEREALS UNMILLED","African Millet","Kg ","4.50","6.83","-","-","-","11.95","-","-","-","-","-"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","18.00","18.00","-","16.64","18.00","20.00","18.00","-","17.00","20.00","17.66"
"18","CEREALS UNMILLED","Oats","Kg ","-","-","12.25","20.00","20.00","-","-","19.66","-","-","6.95"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","-","-","-","-","6.82","11.45","-","-","9.04","-"
"20","CEREALS MILLED","'Teff' White","Kg ","17.00","-","-","-","-","-","-","-","-","-","-"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"25","CEREALS MILLED","Barley White","Kg ","-","30.00","-","-","-","-","-","-","-","-","-"
"26","CEREALS MILLED","Barley Mixed","Kg ","-","26.65","-","-","-","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Maize (White)","Kg ","-","-","8.21","8.58","-","-","-","-","7.26","6.08","-"
"2","P R I C E   I N    B I R R","Oats","Kg ","-","-","-","-","-","-","-","-","20.00","-","-"
"3","P R I C E   I N    B I R R","Sorghum","Kg ","-","-","-","-","-","-","-","-","6.87","-","-"
"4","P R I C E   I N    B I R R","Durrah","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"5","P R I C E   I N    B I R R","'Furno Duket' Locally Processed","Kg ","12.00","12.00","12.00","11.32","12.00","13.00","12.00","12.00","12.00","12.32","11.66"
"6","PULSES UNMILLED","Horse Beans","Kg ","5.00","7.65","7.27","10.83","10.38","13.79","8.05","8.91","7.04","7.40","6.52"
"7","PULSES UNMILLED","Peas White","Kg ","-","9.65","-","-","-","-","-","10.35","-","-","-"
"8","PULSES UNMILLED","Peas Green(dry)","Kg ","-","-","5.36","9.25","8.78","-","-","-","-","9.11","-"
"9","PULSES UNMILLED","Peas Mixed","Kg ","6.33","8.00","-","-","9.09","11.71","9.72","8.96","8.47","8.33","6.72"
"10","PULSES UNMILLED","Soya Beans","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"11","PULSES UNMILLED","Chick Peas","Kg ","-","13.66","14.97","12.00","10.78","-","11.45","12.66","12.32","15.66","-"
"12","PULSES UNMILLED","Lentils","Kg ","22.00","25.00","14.73","17.65","18.00","18.75","20.00","18.33","18.00","-","20.33"
"13","PULSES UNMILLED","Haricot Beans","Kg ","5.48","7.33","-","5.85","8.08","6.52","-","-","5.51","-","-"
"14","PULSES UNMILLED","Lima Beans","Kg ","-","-","-","7.98","9.00","7.72","10.42","-","-","-","-"
"15","PULSES UNMILLED","Vetch","Kg ","-","8.00","-","-","-","-","-","-","-","-","-"
"16","PULSES UNMILLED","Fenugreek(Green)","Kg ","22.24","17.31","22.79","24.30","20.65","-","19.31","17.66","14.66","18.64","13.00"
"17","PULSES MILLED OR SPLIT","Horse Beans Milled","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"18","PULSES MILLED OR SPLIT","Peas Milled","Kg ","-","29.32","18.23","27.32","24.00","-","28.00","26.33","-","-","-"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","17.31","-","18.00","-","20.00","-","20.00","17.66","18.00","-","14.93"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","-","20.00","-","-","-","-","-","-","-","-","-"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","20.00","16.00","18.00","14.00","16.00","18.97","19.31","15.66","-","20.00","-"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","-","-","-","-","-","-","-","-","16.00","-","-"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","-","-","-","-","-","-","-","-","16.00","-","-"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","24.66","24.65","25.33","23.00","26.00","28.99","26.30","25.66","24.00","28.00","23.00"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","50.00","56.46","64.81","80.00","80.00","-","80.00","60.66","-","60.00","40.00"
"4","OIL SEEDS","Niger Seed","Kg ","-","20.00","-","-","-","-","24.00","23.09","-","-","-"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"6","OIL SEEDS","Linseed Red","Kg ","-","20.00","14.31","19.31","16.32","16.67","16.47","25.94","18.77","14.81","-"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","30.00","-","-","-","-","16.41","25.82","-","21.44","28.01"
"8","OIL SEEDS","Sunflower","Kg ","-","16.00","-","-","-","12.20","-","-","-","12.08","-"
"9","OIL SEEDS","Castor Beans","Kg ","-","-","-","15.04","-","-","-","-","-","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","16.00","10.00","8.11","17.93","18.00","10.73","17.31","14.66","16.00","10.84","12.43"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","13.49","17.33","-","23.31","25.00","-","24.31","-","17.35","-","-"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","24.00","24.00","24.00","24.00","24.00","25.32","24.00","24.00","24.00","26.00","23.31"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","-","33.88","-","30.00","40.00","30.00","30.00","30.00","-","-","-"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","20.00","20.00","18.00","17.31","20.00","20.00","17.66","17.66","18.00","20.00","18.00"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","40.00","-","-","-","-","50.00","-","-","-","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","-","-","-","-","-","-","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","3.54","3.75","1.97","3.86","3.18","3.61","2.92","-","-","3.13","-"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","-","3.54","-","3.91","-","-","-","-","-","-","-"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","-","-","2.19","-","-","2.06","-","-","-","-","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","3.64","4.38","4.77","4.13","5.12","6.00","4.82","5.68","5.55","4.79","4.12"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","4.29","4.29","4.29","4.29","-","-","4.29","-","-","6.00"
"1","MEAT","Beef ","Kg ","71.63","100.00","61.60","108.65","100.00","109.54","-","109.70","120.00","92.83","100.00"
"2","MEAT","Camel Meat ","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","-","35.00","-","-","-","-","-","-","-","-","-"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","8.00","13.30","-","12.76","9.24","19.03","7.82","12.66","-","-","-"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","-","-","-","-","54.85","-","-","-","-","-","-"
"7","DIARY PRODUCTS AND EGG","Camel Milk","Lt ","-","-","-","-","-","-","-","-","-","-","-"
"8","DIARY PRODUCTS AND EGG","Goat Milk","Lt ","-","-","-","-","-","-","-","-","-","-","-"
