"Regions","CATEGORY","ITEM","UNIT","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE"
"Markets","CATEGORY","ITEM","UNIT","Shinile","Arere","Jigjiga","Hartshek","Dolo","Moyale"
"1","CEREALS UNMILLED","'Teff' White ","Kg ","19.00","-","18.00","-","-","-"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","-","16.00","17.10","-","-","16.00"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","-","14.00","14.00","-","-","12.00"
"4","CEREALS UNMILLED","Wheat White","Kg ","-","11.12","-","-","-","10.00"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","7.50","-","-","-","-","-"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","-","8.00","8.05","9.24","-","7.00"
"7","CEREALS UNMILLED","Barley White","Kg ","-","9.75","-","-","-","10.00"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","-","-","7.61","-","-","9.00"
"9","CEREALS UNMILLED","Barley Black","Kg ","-","-","-","-","-","-"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","13.00","-","-","10.32"
"11","CEREALS UNMILLED","Maize (White)","Kg ","7.00","7.33","8.44","7.80","8.70","6.83"
"12","CEREALS UNMILLED","Durrah","Kg ","-","-","-","-","-","-"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","-","-","-","-","8.74","-"
"14","CEREALS UNMILLED","Sorghum White","Kg ","10.00","9.32","8.40","6.43","8.53","-"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","8.25","7.66","8.71","-","6.97","-"
"16","CEREALS UNMILLED","African Millet","Kg ","-","-","-","-","-","15.00"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","15.00","14.00","15.00","14.83","18.00","15.66"
"18","CEREALS UNMILLED","Oats","Kg ","-","-","-","-","-","18.00"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","-","-","-","-","-"
"20","CEREALS MILLED","'Teff' White","Kg ","-","-","-","-","19.66","15.33"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","16.00","-","-","-","14.50"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","9.00","-","-","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","10.66","-","-","-"
"25","CEREALS MILLED","Barley White","Kg ","-","-","-","-","-","-"
"26","CEREALS MILLED","Barley Mixed","Kg ","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Maize (White)","Kg ","10.00","8.00","11.00","10.00","11.05","8.62"
"2","P R I C E   I N    B I R R","Oats","Kg ","-","-","-","-","-","-"
"3","P R I C E   I N    B I R R","Sorghum","Kg ","-","8.16","-","-","-","-"
"4","P R I C E   I N    B I R R","Durrah","Kg ","-","-","-","-","-","-"
"5","P R I C E   I N    B I R R","'Furno Duket' Locally Processed","Kg ","12.32","11.00","12.32","-","13.00","12.00"
"6","PULSES UNMILLED","Horse Beans","Kg ","-","14.00","14.00","20.00","-","14.33"
"7","PULSES UNMILLED","Peas White","Kg ","-","-","-","-","-","-"
"8","PULSES UNMILLED","Peas Green(dry)","Kg ","-","-","-","-","-","14.64"
"9","PULSES UNMILLED","Peas Mixed","Kg ","-","-","13.92","20.00","-","-"
"10","PULSES UNMILLED","Soya Beans","Kg ","-","-","-","-","-","-"
"11","PULSES UNMILLED","Chick Peas","Kg ","-","13.16","13.92","20.00","-","13.30"
"12","PULSES UNMILLED","Lentils","Kg ","20.98","20.33","20.33","24.00","25.00","20.00"
"13","PULSES UNMILLED","Haricot Beans","Kg ","9.65","10.00","11.00","17.31","26.09","12.00"
"14","PULSES UNMILLED","Lima Beans","Kg ","-","-","-","-","14.23","12.66"
"15","PULSES UNMILLED","Vetch","Kg ","-","-","11.32","-","-","-"
"16","PULSES UNMILLED","Fenugreek(Green)","Kg ","20.00","15.66","27.33","-","30.00","19.31"
"17","PULSES MILLED OR SPLIT","Horse Beans Milled","Kg ","-","-","-","-","20.00","-"
"18","PULSES MILLED OR SPLIT","Peas Milled","Kg ","-","-","25.00","-","30.00","40.00"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","-","-","-","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","-","20.65","20.00","32.00","-","20.00"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","-","-","18.00","-","-","-"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","-","-","15.00","16.00","12.00","12.32"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","-","-","16.00","-","-","-"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","-","-","17.66","-","-","-"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","23.65","25.33","24.00","29.32","30.00","24.31"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","-","-","13.00","-","-","-"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","-","18.00","-","-","-"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","40.00","35.00","29.66","50.00","70.00","68.29"
"4","OIL SEEDS","Niger Seed","Kg ","-","-","20.00","-","-","33.25"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","-","-","-"
"6","OIL SEEDS","Linseed Red","Kg ","-","20.00","18.00","-","-","30.00"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","-","45.00","-","-","-"
"8","OIL SEEDS","Sunflower","Kg ","-","-","12.66","-","-","19.31"
"9","OIL SEEDS","Castor Beans","Kg ","-","18.23","20.00","-","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","-","-","16.00","24.00","30.00","14.66"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","-","-","-","-","29.50","23.00"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","-","-","-","-","-","-"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","-","-","-","-","-","-"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","16.66","16.00","18.00","20.00","20.00","16.33"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","-","-","-","-","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","-","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","4.65","4.37","3.91","-","5.22","4.06"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","-","5.00","-","-","-","4.83"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","-","4.78","-","-","-","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","5.00","6.20","5.45","-","4.78","3.76"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","4.29","4.29","5.00","-","6.43","4.29"
"1","MEAT","Beef ","Kg ","-","-","140.00","109.54","160.00","120.00"
"2","MEAT","Camel Meat ","Kg ","-","-","120.00","80.00","130.00","100.00"
"3","FISH AND FISH PRODUCTS","Fish Fresh","Kg ","-","-","-","-","-","-"
"4","FISH AND FISH PRODUCTS","Sardines (Imported)","125gm ","-","-","30.64","-","-","32.00"
"5","DIARY PRODUCTS AND EGG","Cow Milk (Unpasteurized)","Lt ","14.12","14.12","14.00","11.67","12.82","11.76"
"6","DIARY PRODUCTS AND EGG","Cow Milk (pasteurized)","Lt ","32.65","-","-","-","-","-"
