"Regions","CATEGORY","ITEM","UNIT","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","AFAR","AFAR","AFAR","AFAR"
"Markets","CATEGORY","ITEM","UNIT","Enda- silase ","Enda- baguna ","Adwa","Axum","Adigrat","Wukiro","Mai- chew ","Mekelle","Ayisaeta","Dubti","Melka Werers ","Sebat killo "
"1","CEREALS UNMILLED","'Teff' White ","Kg ","15.92","18.25","17.00","16.34","17.77","17.80","16.96","17.23","16.00","17.33","18.00","17.60"
"2","CEREALS UNMILLED","'Teff' Mixed","Kg ","13.81","16.27","15.20","14.81","14.33","14.00","13.20","15.00","15.00","15.00","15.83","15.73"
"3","CEREALS UNMILLED","'Teff' Black (Red)","Kg ","12.69","16.00","6.17","13.68","13.07","12.34","14.08","11.50","-","-","13.83","12.90"
"4","CEREALS UNMILLED","Wheat White","Kg ","9.03","12.99","8.00","9.12","9.16","8.90","9.64","9.50","12.00","-","7.33","8.00"
"5","CEREALS UNMILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-","7.00"
"6","CEREALS UNMILLED","Wheat Black (Red)","Kg ","7.31","9.41","-","-","9.00","10.87","10.69","12.18","-","-","-","7.00"
"7","CEREALS UNMILLED","Barley White","Kg ","-","10.21","-","11.11","8.16","10.93","8.97","11.00","10.83","9.00","9.16","8.00"
"8","CEREALS UNMILLED","Barley Mixed","Kg ","-","-","-","-","-","-","8.25","-","-","-","-","7.90"
"9","CEREALS UNMILLED","Barley Black","Kg ","-","-","-","-","9.80","10.59","-","9.10","-","-","-","7.97"
"10","CEREALS UNMILLED","Barley for Beer","Kg ","-","-","-","-","-","-","-","-","-","-","8.16","8.07"
"11","CEREALS UNMILLED","Maize (White)","Kg ","6.97","6.75","7.00","6.90","7.00","7.00","6.80","6.77","5.80","6.00","7.00","6.95"
"12","CEREALS UNMILLED","Durrah","Kg ","-","-","-","-","-","7.82","9.83","-","20.00","-","-","-"
"13","CEREALS UNMILLED","Sorghum Yellow","Kg ","6.13","-","6.00","-","-","8.45","10.05","10.50","11.49","12.66","10.32","8.00"
"14","CEREALS UNMILLED","Sorghum White","Kg ","-","7.87","-","9.91","-","-","10.86","9.47","-","12.00","11.66","10.13"
"15","CEREALS UNMILLED","Sorghum Red","Kg ","-","7.31","6.00","6.87","-","-","-","7.50","-","-","8.65","7.00"
"16","CEREALS UNMILLED","African Millet","Kg ","7.41","8.23","9.00","9.44","9.07","10.23","-","9.50","-","-","-","-"
"17","CEREALS UNMILLED","Rice (Imported)","Kg ","18.64","18.00","20.00","18.00","18.00","18.00","18.00","17.00","16.00","16.33","15.66","15.66"
"18","CEREALS UNMILLED","Oats","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"19","CEREALS UNMILLED","Hulled Barley","Kg ","-","-","16.42","17.54","-","-","-","-","-","-","-","-"
"20","CEREALS MILLED","'Teff' White","Kg ","-","-","-","-","-","-","-","18.00","16.67","18.00","19.00","-"
"21","CEREALS MILLED","'Teff' Mixed","Kg ","-","-","-","-","-","-","-","15.66","15.50","16.33","16.83","-"
"22","CEREALS MILLED","'Teff' Black (Red)","Kg ","-","-","-","-","-","-","-","14.49","-","-","14.83","-"
"23","CEREALS MILLED","Wheat White","Kg ","-","-","-","-","-","-","11.18","-","-","-","-","-"
"24","CEREALS MILLED","Wheat Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"25","CEREALS MILLED","Barley White","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"26","CEREALS MILLED","Barley Mixed","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"1","P R I C E   I N    B I R R","Maize (White)","Kg ","-","-","-","-","-","9.88","10.05","8.16","7.33","-","7.83","-"
"2","P R I C E   I N    B I R R","Oats","Kg ","20.98","21.66","-","-","24.00","25.00","-","23.45","-","-","23.31","-"
"3","P R I C E   I N    B I R R","Sorghum","Kg ","-","-","-","-","-","-","-","10.00","-","-","-","-"
"4","P R I C E   I N    B I R R","Durrah","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"5","P R I C E   I N    B I R R","'Furno Duket' Locally Processed","Kg ","13.66","14.00","14.66","14.00","14.00","14.00","13.66","12.00","11.00","11.00","10.66","11.00"
"6","PULSES UNMILLED","Horse Beans","Kg ","10.26","13.84","10.81","9.52","11.00","11.16","9.54","11.66","12.16","9.15","14.66","10.00"
"7","PULSES UNMILLED","Peas White","Kg ","-","-","-","-","-","-","-","-","-","-","12.66","-"
"8","PULSES UNMILLED","Peas Green(dry)","Kg ","-","-","12.41","-","12.00","9.33","-","12.00","-","12.00","11.66","10.13"
"9","PULSES UNMILLED","Peas Mixed","Kg ","-","-","-","9.95","-","-","10.96","-","-","-","-","-"
"10","PULSES UNMILLED","Soya Beans","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"11","PULSES UNMILLED","Chick Peas","Kg ","11.37","15.38","14.15","12.82","11.32","10.54","11.38","12.00","12.00","12.00","13.33","10.17"
"12","PULSES UNMILLED","Lentils","Kg ","24.00","19.31","24.00","15.52","20.00","15.19","14.89","20.00","18.00","20.00","18.64","18.33"
"13","PULSES UNMILLED","Haricot Beans","Kg ","12.90","-","-","-","-","-","-","-","-","-","11.32","10.00"
"14","PULSES UNMILLED","Lima Beans","Kg ","-","-","-","-","-","-","-","-","-","-","-","10.00"
"15","PULSES UNMILLED","Vetch","Kg ","8.78","-","9.61","8.24","7.96","6.89","7.32","5.87","-","-","7.09","6.07"
"16","PULSES UNMILLED","Fenugreek(Green)","Kg ","24.80","16.03","14.71","18.23","19.31","15.37","14.23","25.00","20.00","20.65","15.00","20.00"
"17","PULSES MILLED OR SPLIT","Horse Beans Milled","Kg ","-","-","22.00","22.99","18.00","12.33","14.84","14.19","-","20.95","15.94","15.00"
"18","PULSES MILLED OR SPLIT","Peas Milled","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"19","PULSES MILLED OR SPLIT","Chick Peas Milled","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"20","PULSES MILLED OR SPLIT","Mixed Pulses Milled","Kg ","-","-","-","-","-","-","-","-","-","-","29.32","-"
"21","PULSES MILLED OR SPLIT","Vetch Milled","Kg ","-","-","-","-","-","-","-","-","-","-","29.32","16.83"
"22","PULSES MILLED OR SPLIT","Peas Split","Kg ","22.65","-","-","23.33","-","-","-","-","20.00","-","15.33","15.00"
"23","PULSES MILLED OR SPLIT","Peas Split(Roasted)","Kg ","-","-","-","-","19.21","20.00","-","18.93","-","20.00","16.33","15.00"
"24","PULSES MILLED OR SPLIT","Horse Beans Split(Roasted)","Kg ","20.65","20.00","-","-","-","-","-","-","-","20.00","-","13.33"
"25","PULSES MILLED OR SPLIT","Lentils Split","Kg ","27.32","26.33","30.00","30.00","24.99","30.00","30.00","28.31","25.66","26.33","25.33","23.66"
"1","P R I C E   I N    B I R R","Vetch Split(Roasted)","Kg ","-","-","-","-","13.16","10.42","-","9.90","-","-","-","11.66"
"2","P R I C E   I N    B I R R","Chick Peas Split(Roasted)","Kg ","-","-","-","-","-","20.29","-","19.55","-","-","-","17.66"
"3","P R I C E   I N    B I R R","Fenugreek Milled","Kg ","85.00","-","60.00","40.99","-","-","-","50.00","28.65","-","-","37.42"
"4","OIL SEEDS","Niger Seed","Kg ","16.48","14.10","9.62","16.67","-","-","-","25.00","19.31","30.00","17.31","-"
"5","OIL SEEDS","Linseed White","Kg ","-","-","-","-","-","-","-","-","-","-","-","20.00"
"6","OIL SEEDS","Linseed Red","Kg ","16.87","14.07","15.09","14.50","13.66","9.47","11.79","19.31","20.00","20.00","21.31","18.00"
"7","OIL SEEDS","Sesame Seed Red","Kg ","-","-","-","-","-","-","-","40.00","29.32","-","-","-"
"8","OIL SEEDS","Sunflower","Kg ","13.92","16.65","9.09","16.15","-","-","10.99","20.00","14.00","-","14.33","12.63"
"9","OIL SEEDS","Castor Beans","Kg ","8.50","13.11","5.07","10.00","12.00","-","8.33","-","-","-","-","-"
"10","OIL SEEDS","Rape Seed","Kg ","16.13","13.21","9.09","10.64","16.00","-","-","25.66","20.00","20.00","12.32","10.00"
"11","OIL SEEDS","Ground Nut Shelled","Kg ","22.33","24.00","22.00","23.99","23.31","-","25.00","24.00","25.66","24.33","22.33","21.49"
"12","PREPARED CEREAL PRODUCTS","Spaghetti (Local) Without Egg","Kg ","31.32","31.32","30.00","29.96","29.32","32.00","32.00","28.00","24.00","24.00","23.31","23.31"
"13","PREPARED CEREAL PRODUCTS","Pastini","Kg ","28.65","24.65","28.00","28.65","28.00","30.00","30.00","28.65","30.00","-","30.65","26.65"
"14","PREPARED CEREAL PRODUCTS","Macaroni (Local) Without Egg","Kg ","20.00","20.00","20.00","20.00","18.00","18.00","19.00","17.66","17.00","17.31","18.33","16.66"
"15","PREPARED CEREAL PRODUCTS","'Fafa' Flour","kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"16","PREPARED CEREAL PRODUCTS","'Dube' Flour","kg ","-","-","-","46.00","-","-","-","-","-","-","-","-"
"17","BREAD AND OTHER PREPARED FOODS","'Enjera' ('Teff' Mixed)","325gm ","-","4.88","3.68","4.64","2.97","3.36","3.71","3.50","4.88","5.87","4.20","4.07"
"18","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Ambasha)","350gm ","-","-","-","-","-","3.98","-","4.38","-","5.17","-","-"
"19","BREAD AND OTHER PREPARED FOODS","'Dabo' (Traditional Sheleto)","350gm ","-","-","-","-","-","-","-","-","-","-","-","-"
"20","BREAD AND OTHER PREPARED FOODS","Bread Wheat (Bakery)","350gm ","5.27","4.44","4.86","4.20","4.20","3.50","5.25","3.95","6.18","4.38","3.69","7.02"
"21","BREAD AND OTHER PREPARED FOODS","Biscuits ","150gm ","5.00","3.00","4.29","3.21","5.36","4.29","4.29","4.29","4.98","4.29","4.98","5.36"
"1","MEAT","Beef ","Kg ","100.00","100.00","100.00","120.00","90.00","94.66","80.00","109.70","-","-","100.00","120.00"
"2","MEAT","Camel Meat ","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
